番号,事業者名,カテゴリ,エリア（江東区）,アプローチ方法,メモ・アピールポイント
1,深川豆腐工房,料理・ものづくり,深川,Instagram DM,豆腐作り体験。昔ながらの製法。子ども向け説明が得意そう
2,亀戸餃子 本店,料理・ものづくり,亀戸,直接訪問,餃子づくり体験。地域の名物。行列店で信頼性高い
3,砂町和菓子 みつや,料理・ものづくり,北砂,直接訪問,和菓子づくり体験。季節の上生菓子。砂町銀座商店街
4,木場パン教室 こむぎ,料理・ものづくり,木場,Instagram DM,天然酵母パン作り。少人数制。親子向け実績あり
5,清澄白河 珈琲焙煎所,料理・ものづくり,清澄白河,Instagram DM,コーヒー豆の焙煎体験。第三の波カフェ。中高生向き
6,深川 味噌蔵,料理・ものづくり,深川,直接訪問,味噌仕込み体験。江戸時代から続く発酵文化。親子向き
7,有明 ピザ工房,料理・ものづくり,有明,Instagram DM,本格石窯ピザ作り。生地から体験。子ども人気高い
8,亀戸 蕎麦打ち道場,料理・ものづくり,亀戸,直接訪問,手打ち蕎麦体験。職人が丁寧に指導。親子プランあり
9,東陽町 和食料理教室,料理・ものづくり,東陽,ホームページ問い合わせ,和食の基本を学ぶ。出汁の取り方から。中学生以上向き
10,豊洲 魚料理教室,料理・ものづくり,豊洲,Instagram DM,魚のさばき方から料理まで。豊洲市場近く。本格的
11,木場 陶芸工房 土と手,ものづくり・アート,木場,Instagram DM,電動ろくろ体験。小学生から参加可。作品持ち帰り
12,清澄白河 ガラス工房,ものづくり・アート,清澄白河,Instagram DM,ステンドグラス・サンドブラスト体験。おしゃれエリア
13,亀戸 革工芸アトリエ,ものづくり・アート,亀戸,直接訪問,本革でキーホルダー・小物づくり。職人技を間近で
14,深川 染め物工房,ものづくり・アート,深川,ホームページ問い合わせ,江戸小紋・藍染め体験。伝統工芸を子どもへ
15,木場 木工教室 カンナ,ものづくり・アート,木場,Instagram DM,木工体験。木場は木材の町。地域の歴史とセットで話せる
16,砂町 版画工房,ものづくり・アート,北砂,直接訪問,木版画・リトグラフ体験。作家が指導。少人数制
17,東陽 竹細工教室,ものづくり・アート,東陽,ホームページ問い合わせ,竹でかごや小物づくり。伝統工芸。根気が育つ
18,豊洲 3Dプリンター工房,ものづくり・アート,豊洲,Instagram DM,デジタルものづくり。設計から出力まで体験。中高生向き
19,有明 ロボット工作教室,ものづくり・アート,有明,ホームページ問い合わせ,ロボット組み立て・プログラミング連携。理系思考を育む
20,清澄白河 活版印刷工房,ものづくり・アート,清澄白河,Instagram DM,レトロな活版印刷体験。名刺やポストカードを自分で印刷
21,深川 刃物研ぎ職人,ものづくり・アート,深川,直接訪問,包丁研ぎ・砥石の使い方。職人の技術体験。中学生以上向き
22,亀戸 組子細工教室,ものづくり・アート,亀戸,ホームページ問い合わせ,日本の伝統木工技法。細かい作業で集中力が育つ
23,木場 鍛冶体験工房,ものづくり・アート,木場,直接訪問,鉄を叩いてペーパーナイフを作る。本物の鍛冶体験
24,砂町 ビーズアクセサリー教室,ものづくり・アート,北砂,Instagram DM,世界のビーズでオリジナル作品づくり。女の子に人気
25,東陽 フラワーアレンジ教室,ものづくり・アート,東陽,Instagram DM,季節の花を使ったアレンジメント。感性を育む
26,豊洲 水族館スタッフ 特別授業,探究・学び,豊洲,ホームページ問い合わせ,魚の生態・飼育の仕事を知る。バックヤード見学
27,深川 江戸資料館 学芸員,探究・学び,深川,直接訪問,江戸の暮らしを体験しながら学ぶ。地域の歴史理解
28,亀戸天神 神職体験,探究・学び,亀戸,直接訪問,神社の仕事・祭りの準備を体験。伝統文化の継承
29,東陽 気象予報士,探究・学び,東陽,Instagram DM,天気のしくみを実験で学ぶ。観測・予測の体験
30,豊洲 IT企業エンジニア,探究・学び,豊洲,ホームページ問い合わせ,プログラミング・アプリ開発体験。本物のオフィスで
31,清澄白河 古本・活字の世界,探究・学び,清澄白河,Instagram DM,本の作られ方・活字文化。本好きな子に。レトロな空間
32,木場 建築家のアトリエ,探究・学び,木場,ホームページ問い合わせ,模型づくりと建築設計の考え方。空間の読み方を学ぶ
33,砂町 商店街 八百屋,探究・学び,北砂,直接訪問,野菜の知識・選び方・仕入れの仕事。商売の基本を学ぶ
34,有明 スポーツ科学研究所,探究・学び,有明,ホームページ問い合わせ,体の動きを科学的に分析。オリンピック施設近く
35,東陽 獣医師クリニック,探究・学び,東陽,直接訪問,動物の診察・健康管理を学ぶ体験。動物好きな子に
36,深川 大工の棟梁,探究・学び,深川,直接訪問,大工道具の使い方・木材の見分け方。本物の現場で学ぶ
37,亀戸 電気工事士,探究・学び,亀戸,紹介,電気の安全な使い方・配線の仕組みを体験。理科と連携
38,木場 印刷会社 工場見学,探究・学び,木場,ホームページ問い合わせ,本・チラシが作られる工程を見学。デザインの基礎も
39,豊洲 管理栄養士,探究・学び,豊洲,Instagram DM,栄養と食事の科学。自分で食事設計してみる体験
40,清澄白河 グラフィックデザイナー,探究・学び,清澄白河,Instagram DM,ポスター・ロゴのデザイン体験。デザイン思考を学ぶ
41,砂町 銀座商店街 魚屋,探究・学び,北砂,直接訪問,魚の目利き・さばき方・商売の仕組み。昭和の商店街文化
42,有明 看護師による救急体験,探究・学び,有明,ホームページ問い合わせ,AED・包帯の巻き方。命を守る知識を子どもへ
43,東陽 司法書士事務所,探究・学び,東陽,直接訪問,法律の仕事・権利を守ることを学ぶ。中高生の職業体験
44,深川 写真家アトリエ,アート・表現,深川,Instagram DM,フィルムカメラで街を撮る体験。深川の路地・歴史的景観
45,清澄白河 現代アート作家,アート・表現,清澄白河,Instagram DM,現代アートの考え方・表現体験。ギャラリー街ならでは
46,亀戸 書道家,アート・表現,亀戸,直接訪問,本格的な書道体験。筆・墨・半紙の世界。集中力を育む
47,木場 絵本作家,アート・表現,木場,Instagram DM,絵本づくり体験。ストーリーを考えて自分だけの本を作る
48,砂町 絵画教室,アート・表現,北砂,Instagram DM,水彩・アクリルで風景画。砂町の街並みをモチーフに
49,有明 ダンス・ヒップホップスタジオ,アート・表現,有明,Instagram DM,体で表現することを学ぶ。発表会も視野に
50,東陽 声優・ナレーション教室,アート・表現,東陽,Instagram DM,声の出し方・表現力。アニメが好きな子に
51,豊洲 映像制作会社,アート・表現,豊洲,ホームページ問い合わせ,動画撮影・編集体験。YouTubeを作る仕事を知る
52,清澄白河 漫画家アトリエ,アート・表現,清澄白河,Instagram DM,コマ割り・キャラクター設定。漫画の作り方体験
53,深川 落語家,アート・表現,深川,直接訪問,落語の稽古体験。話し方・表現力。江戸文化の継承
54,亀戸 俳句・川柳教室,アート・表現,亀戸,直接訪問,言葉で表現する日本の詩。五・七・五の世界
55,木場 陶芸絵付け教室,アート・表現,木場,Instagram DM,白磁に絵付け。食器に絵を描く体験。作品持ち帰り
56,東陽 音楽プロデューサー,アート・表現,東陽,Instagram DM,曲作りの仕組み・DTMの入門体験。中高生向き
57,有明 ヨガ・マインドフルネス,アート・表現,有明,Instagram DM,体と心のつながりを学ぶ。表現と内省の体験
58,砂町 紙芝居師,アート・表現,北砂,直接訪問,紙芝居の作り方・演じ方体験。昭和の文化体験
59,豊洲 建築模型作家,アート・表現,豊洲,Instagram DM,精巧な建築模型づくり。空間と美を考える
60,清澄白河 陶芸家,アート・表現,清澄白河,Instagram DM,手びねりで器づくり。清澄白河のアートシーンを体感
61,新木場 自然観察ガイド,自然・アウトドア,新木場,直接訪問,若洲海浜公園で生き物観察。海辺の生態系を学ぶ
62,東陽 都市農業体験農園,自然・アウトドア,東陽,直接訪問,野菜の栽培・収穫体験。土と触れ合う都会の農業
63,有明 カヌー・カヤック教室,自然・アウトドア,有明,ホームページ問い合わせ,水上スポーツ体験。東京湾岸の自然を感じる
64,辰巳 釣り体験,自然・アウトドア,辰巳,直接訪問,辰巳水域公園でハゼ釣り。釣りの基本・生態を学ぶ
65,木場公園 ビオトープ保全活動,自然・アウトドア,木場,ホームページ問い合わせ,在来種の植物保護・生態観察。環境教育
66,清澄庭園 日本庭園解説,自然・アウトドア,清澄白河,直接訪問,庭の植物・石・水のデザインを学ぶ。造園の仕事も
67,豊洲 都市養蜂家,自然・アウトドア,豊洲,Instagram DM,屋上でミツバチを育てる。蜂蜜採取体験。都市農業
68,砂町 ハーブ農園,自然・アウトドア,北砂,Instagram DM,ハーブの栽培・ドライハーブ作り。香りと植物の世界
69,亀戸 鳥類観察ガイド,自然・アウトドア,亀戸,Instagram DM,亀戸緑道・水辺の鳥を観察。バードウォッチング入門
70,有明 サイクリング・自転車整備,自然・アウトドア,有明,Instagram DM,自転車の仕組みと整備体験。有明の湾岸サイクリング
71,深川 消防士体験（地域連携）,探究・学び,深川,直接訪問,消防署との地域連携。ホース・救助の仕組みを体験
72,木場 救急救命士,探究・学び,木場,直接訪問,応急処置・心肺蘇生法を学ぶ。命を守る知識体験
73,亀戸 理科実験教室,探究・学び,亀戸,Instagram DM,化学実験・物理実験を楽しく体験。学校より一歩先の科学
74,豊洲 水産業 漁師,探究・学び,豊洲,直接訪問,漁の仕事・魚の命を学ぶ体験。豊洲市場のバックグラウンド
75,清澄白河 天文ガイド,探究・学び,清澄白河,Instagram DM,プラネタリウム的な星空解説。宇宙への好奇心を育む
76,東陽 プログラミング教室（個人運営）,探究・学び,東陽,Instagram DM,スクラッチからPythonまで。子どもの進度に合わせる
77,有明 スポーツ栄養士,探究・学び,有明,Instagram DM,アスリートの食事・体づくりを学ぶ。スポーツ好きに
78,砂町 修理職人（電化製品）,探究・学び,北砂,直接訪問,壊れたものを直す仕事。物を大切にする心を育む
79,深川 地図・測量士,探究・学び,深川,ホームページ問い合わせ,地図の作られ方・GPSの仕組みを体験。地理好きに
80,木場 図書館司書,探究・学び,木場,直接訪問,本の選び方・分類・図書館の仕事を学ぶ。読書推進
81,亀戸 フードスタイリスト,アート・表現,亀戸,Instagram DM,料理を美しく見せる技術体験。写真・食のセンスを磨く
82,豊洲 グラフィックノベル作家,アート・表現,豊洲,Instagram DM,イラスト+ストーリーで表現する。漫画・絵本の中間形態
83,清澄白河 ジャズミュージシャン,アート・表現,清澄白河,Instagram DM,即興演奏・アンサンブル体験。音楽の自由な表現
84,東陽 折り紙作家,アート・表現,東陽,Instagram DM,複雑な折り紙作品づくり。数学的思考と美の融合
85,有明 ファッションデザイナー,アート・表現,有明,Instagram DM,服のデザイン・型紙体験。ものづくりとセンス
86,砂町 人形劇団,アート・表現,北砂,直接訪問,人形操作・声の演技体験。表現の多様性を体験
87,深川 伝統芸能（お囃子）,アート・表現,深川,直接訪問,太鼓・笛・三味線の体験。下町の祭り文化を継承
88,木場 映画監督・脚本家,アート・表現,木場,Instagram DM,短編映画を撮る体験。企画から撮影・編集まで
89,亀戸 コミックイラスト教室,アート・表現,亀戸,Instagram DM,デジタルイラスト体験。iPad・タブレットを使う
90,豊洲 建築デザイン事務所,アート・表現,豊洲,ホームページ問い合わせ,建物のデザインを考える体験。模型づくりも
91,清澄白河 染色・テキスタイル作家,ものづくり・アート,清澄白河,Instagram DM,布に染めて柄をつくる体験。服・バッグに応用
92,東陽 キャンドル・アロマ作家,ものづくり・アート,東陽,Instagram DM,天然素材でキャンドルづくり。香りと色の組み合わせ
93,有明 ガーデニング・植栽家,自然・アウトドア,有明,Instagram DM,植物の組み合わせ・ミニガーデン作り体験
94,砂町 昆虫標本作家,自然・アウトドア,北砂,直接訪問,昆虫の種類・採集・標本づくり体験。理科との連携
95,深川 自然素材クラフト,自然・アウトドア,深川,Instagram DM,拾った木の実・葉・枝でアート作品を作る
96,木場 海洋生物研究者,自然・アウトドア,木場,ホームページ問い合わせ,海の生き物の研究・保護について学ぶ
97,亀戸 都市緑化ボランティア,自然・アウトドア,亀戸,直接訪問,街路樹・緑地の管理体験。環境と都市の共存
98,豊洲 天体望遠鏡工作,自然・アウトドア,豊洲,Instagram DM,望遠鏡を組み立てて星を見る。科学とアートの融合
99,清澄白河 野草・山菜ガイド,自然・アウトドア,清澄白河,Instagram DM,都市の中の野草を知る。食べられる植物の見分け方
100,有明 スポーツクライミング指導員,自然・アウトドア,有明,ホームページ問い合わせ,ボルダリング体験。体の使い方・課題解決力を育む
